Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
k__Bacteria,p__Firmicutes,c__Erysipelotrichi,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Allobaculum,s__	364289	0.000201223950267	0.000161284559506	9.96467650777e-05	7.36149819089e-05
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Piscirickettsiaceae,g__,s__	162491	0.000602306030019	0.000276668812152	0.00016917660268	0.00010392749022
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__,s__	275237	0.00105137460223	0.00330337005005	0.000240349583786	0.000860989181764
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Propionibacteriaceae,g__Propionibacterium,s__acnes	192963	0.0109510165442	0.00423054441919	0.00178442492419	0.000852921680133
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__,s__	1517154	0.000126071266229	8.75093996052e-05	8.28323695936e-05	7.50763567136e-05
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__lwoffii	2313540	0.000155974617005	0.00022376523201	0.000102700533216	0.000115027248825
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__	308760	0.000667619304157	0.000393757889893	0.000185649404901	0.000119846266291
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	571642	0.000120134194449	9.36819756219e-05	8.60140995166e-05	7.7428640703e-05
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Virgibacillus,s__	192055	0.000156540123365	0.000103504784982	0.000102470009947	8.94931501212e-05
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__prausnitzii	179159	0.00262273617095	0.00183822775791	0.000568214838195	0.000386885319884
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__,s__	269386	0.000457348313723	0.000457737968224	0.000134806353936	0.00013328702041
