Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae	4407939	0.000155511712241	0.00075046119465	7.14839934534e-05	0.000134755585293
Bacteria,Firmicutes,Clostridia,Clostridiales	667010	4.07559181247e-06	0.0	4.58550495881e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Mogibacteriaceae	150382	4.037202082e-06	0.0	2.6224445589e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	2657412	2.13344938018e-06	2.18201945118e-06	1.38582429245e-07	1.43878101868e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	348748	0.000221152855254	0.000260083322578	0.000154034958899	0.000225178778278
Bacteria,Firmicutes,Clostridia,Clostridiales	730939	2.92807284661e-05	3.54750362729e-05	7.06308326218e-06	8.53551101066e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella	4440670	2.75675241962e-06	3.3315452623e-06	2.33810561023e-07	2.96620350639e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	331476	4.30288467825e-06	0.0	3.90151851244e-07	0.0
Bacteria,Firmicutes,Bacilli,Bacillales	157711	0.0	4.07856130007e-06	0.0	2.68932368081e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	178712	0.000696200700793	0.000402964936759	0.000161104422303	8.17719931261e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	188192	0.000211386450724	0.000243843635244	9.74252927276e-05	0.000132971045602
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paraprevotellaceae,Paraprevotella	165118	0.00677753214907	0.00482835140979	0.00159823700096	0.00127296715263
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira	197890	0.0	3.65854562537e-06	0.0	2.41237354639e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	295871	1.14289603536e-05	9.16749071022e-06	2.42299317138e-06	1.19049081537e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	329112	0.0	1.64588235471e-06	0.0	1.08526268621e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	299355	2.37591144033e-06	0.0	2.16174997822e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea	4328199	0.0	3.58603586905e-06	0.0	3.3235779053e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella	294053	0.0	2.78365915824e-06	0.0	1.83549049354e-07
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Pseudoalteromonadaceae,Pseudoalteromonas	275521	3.38500454015e-06	0.0	2.19879673048e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	318658	0.0	2.28150546453e-06	0.0	1.50438015325e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella	4304901	1.35865351523e-05	3.39603306324e-05	2.80423852959e-06	7.02832101658e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira	277388	2.52563553777e-06	0.0	1.64057657736e-07	0.0
Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,PSB-M-3	4472220	2.86035428309e-06	0.0	1.85799976664e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4477911	2.28789760526e-06	0.0	2.09083109771e-07	0.0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus	286668	0.0	2.18201945118e-06	0.0	1.43878101868e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	176450	5.43668612286e-05	9.21593922726e-05	2.24898521839e-05	3.38936812906e-05
