Features	Feature IDs	Omnivore (mean)	Veggie (std)	Omnivore (std)	Veggie (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4300690	0.000943275701144	0.00467142107368	0.0032852179381	0.00136461880722
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae	511549	0.0	1.18307524954e-06	0.0	6.66587387207e-08
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus	2740950	0.0011240174282	0.00753605890368	0.00572120839839	0.00225258438622
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	187223	1.88139073155e-08	0.0	9.57108418488e-07	0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia	749489	0.0	1.17294533449e-06	0.0	6.6087982667e-08
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium	320892	2.35661694441e-08	0.0	1.19886734787e-06	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas	256973	6.2304338676e-09	0.0	3.16957057644e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,caccae	195508	1.23411468959e-05	3.66500397885e-05	5.33899905087e-05	1.126017373e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	195509	1.02822122667e-06	9.99399363707e-06	1.02215043144e-05	1.70484776722e-06
Bacteria,Firmicutes,Bacilli,Haloplasmatales,Haloplasmataceae	2140546	2.7867207648e-08	0.0	1.02146411286e-06	0.0
Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas	1044938	1.83604847263e-08	2.9758034543e-06	9.34041727982e-07	1.67667530043e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus	193163	1.08609748421e-05	4.36438016009e-05	8.44092906522e-05	1.1024917102e-05
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae	1030519	0.0	1.34440755431e-06	0.0	7.57487843078e-08
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	178117	8.14238140185e-06	0.00014100674852	5.20808940412e-05	1.64334589346e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	4317113	1.57917133647e-08	0.0	8.03362191077e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	186358	6.22495033613e-05	0.00012185557235	0.000152438974789	4.42534562289e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	176924	3.42560613676e-05	7.60645747938e-05	9.95981331668e-05	3.27990871524e-05
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae	132653	0.0	2.45832338585e-06	0.0	1.3851083127e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	366161	3.0274637793e-05	7.40019973312e-05	7.2251648881e-05	4.03418622235e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira	334935	8.80160234227e-09	0.0	4.47758541417e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	300805	0.0	5.39325085428e-06	0.0	3.03875260421e-07
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Morganella	4439606	1.54351629311e-08	0.0	7.85223618589e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	178465	4.53468666455e-08	0.0	1.34879775978e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea	1760821	0.0	1.75024351501e-06	0.0	9.86150502345e-08
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	348574	5.14267705529e-08	0.0	1.33163985021e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	348751	0.0	1.56536550715e-06	0.0	8.81983545715e-08
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter	4417061	0.0	1.33020662664e-06	0.0	7.49486526781e-08
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	369299	1.24608677352e-08	0.0	6.33914115287e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	175753	1.24182409799e-06	2.35275748255e-05	1.29403805427e-05	3.65467511445e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,torques	148987	3.77956037247e-05	9.43809942707e-05	0.000128849267983	2.48749484625e-05
