Features	Feature IDs	Omnivore (mean)	Vegan (std)	Omnivore (std)	Vegan (mean)
k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__Thermodesulfovibrionaceae,g__,s__	3229554	0.0	4.08884146482e-06	0.0	5.27867163284e-07
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Marinilabiaceae,g__,s__	754549	4.82994636101e-08	0.0	1.20170544542e-06	0.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__	300517	1.71643998271e-05	8.84336739182e-05	6.18485802999e-05	3.64127580579e-05
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	132333	2.82863695521e-08	7.22479861922e-06	8.35071654647e-07	9.32717491065e-07
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__,s__	187212	0.000176310906664	0.000315714451898	0.000439399451689	0.000176954157203
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__	292399	0.00227217346581	0.0138934763402	0.00631391841902	0.0051326335482
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__	4310221	2.47159035198e-08	0.0	9.20606013181e-07	0.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Anoxybacillus,s__kestanbolensis	4354486	4.2719985865e-05	0.000112748781496	0.000128959018733	5.21171473787e-05
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__uniformis	967433	0.0	7.22479861922e-06	0.0	9.32717491065e-07
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnobacterium,s__	363442	4.36378313648e-05	0.000189013898773	0.000119499256278	8.78518166138e-05
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__	182054	3.71716993404e-05	8.06911898673e-05	0.000109567794331	4.40287028538e-05
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Methylophilales,f__Methylophilaceae,g__,s__	526824	1.5685896572e-08	0.0	7.97979037994e-07	0.0
