Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	179557	9.90182176174e-05	6.7263322019e-05	3.86991850422e-05	2.93973126596e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae	356564	2.64232237572e-06	2.65209457674e-06	1.71637282364e-07	1.7487393775e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7	193359	1.47052655916e-06	0.0	9.55209646548e-08	0.0
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae	572882	0.0	3.25916408098e-06	0.0	2.14902915459e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus	186921	2.60896351976e-05	4.25367088338e-05	8.57249247322e-06	1.54569859026e-05
Bacteria,Firmicutes,Clostridia,Clostridiales	345095	0.0	2.56305294738e-06	0.0	1.69002706578e-07
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella	41229	2.34638794399e-06	2.84555310537e-06	2.02612918002e-07	1.87630215369e-07
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus	4425214	0.00288629367218	0.00506563527339	0.00143576988706	0.00142716367758
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus	299298	3.07638408436e-06	0.0	1.99832620197e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	171532	0.00125022985682	0.00151532259603	0.000659028125387	0.000944726958927
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae	1121753	3.19307466461e-06	0.0	2.88279949812e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira	4434203	6.40715360702e-05	7.56957000865e-05	2.57574086364e-05	2.26228487205e-05
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Paucibacter	110814	2.65065982698e-06	0.0	1.7217885802e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	288994	3.42586680543e-06	0.0	3.1526160777e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	4359797	0.000344614550723	0.000412301485926	0.000224436197813	0.000302773479233
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,caccae	193528	0.000103153183532	8.81980117709e-05	5.20465305963e-05	5.98639190522e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	199575	9.55916116483e-05	0.000702835857624	4.67304956315e-05	9.79960907874e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	198221	1.91632669084e-05	3.22300567226e-05	4.29899239419e-06	9.46428620226e-06
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,dentocariosa	4311939	5.9863297784e-06	3.43227735504e-06	9.42902344548e-07	2.26317666719e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	279431	5.81389872834e-06	2.78365915824e-06	7.30070393109e-07	1.83549049354e-07
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus	334656	0.0	2.31203695053e-06	0.0	1.52451201895e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	182089	0.000254166344797	0.00039084869591	0.000176378931295	0.000228999986237
Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales	4434773	2.46284083756e-06	2.98393788052e-06	1.59978703635e-07	1.96755037224e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	177702	1.22921342368e-05	1.96177940575e-05	2.89867657013e-06	4.35572355166e-06
Bacteria,Firmicutes,Clostridia,Clostridiales	369379	5.5917648065e-06	5.61716353925e-06	8.00869861024e-07	7.25397609431e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides	196219	0.000201741088929	0.000133675319989	0.000113600458692	7.48088173643e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	345353	2.70068271712e-06	0.0	1.75428193907e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	345354	1.88166313002e-06	3.72354566888e-06	1.22227154767e-07	3.44477416648e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	530094	6.19994558946e-05	6.39983967668e-05	2.54316141985e-05	3.48893402979e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	297872	1.97147368966e-06	0.0	1.28060977515e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	578649	0.0	1.26177354796e-06	0.0	8.31988839369e-08
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae	347243	3.6442255337e-06	0.0	3.35186765987e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	569522	0.0	2.9249131804e-06	0.0	1.92863063753e-07
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium	4296070	2.70068271712e-06	0.0	1.75428193907e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	527195	2.81872284111e-06	1.95057939412e-06	1.83095723909e-07	1.28617396429e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	4437368	0.000137599117685	0.000100484608016	4.78888845972e-05	4.60044339716e-05
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	174036	2.43135542327e-05	1.86952774199e-05	5.16274059531e-06	4.91170331769e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Acidaminococcus	4418233	2.75064006454e-06	0.0	1.78673272337e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	305477	3.66149959004e-06	0.0	2.37839956542e-07	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,fragi	930834	0.0	2.68957809288e-06	0.0	1.77345527612e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae	827585	0.0	3.25916408098e-06	0.0	2.14902915459e-07
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae	2127939	2.63157248811e-06	0.0	1.70939002126e-07	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae	3183894	0.0	2.25812070053e-06	0.0	1.4889606965e-07
Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales	1106217	1.40896233326e-06	0.0	9.15219384493e-08	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus	754549	1.04339213081e-06	3.51656978343e-06	6.77756020303e-08	3.21085355964e-07
Bacteria,Proteobacteria,Betaproteobacteria,Gallionellales,Gallionellaceae,Gallionella	3519749	2.47452378568e-06	0.0	1.60737592665e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	194374	2.47841111758e-06	0.0	1.60990102007e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	194372	4.10195987121e-05	4.99183930449e-05	1.15450356082e-05	1.94340563445e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	194371	0.000102849247413	0.000111018412021	5.02155376465e-05	4.99747979667e-05
Bacteria,Firmicutes,Clostridia,Clostridiales	328828	2.72376839135e-06	2.56505572366e-06	1.76927769592e-07	1.69134765736e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	3709560	1.88166313002e-06	2.01104580185e-06	1.22227154767e-07	1.32604433284e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	72466	2.96416697634e-06	3.07669296836e-06	1.92543335729e-07	3.51179644423e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,obeum	185148	2.73795504078e-05	3.81713919444e-05	7.92729149038e-06	1.20302507827e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	176750	4.41266902385e-06	2.87488383394e-06	3.99106466441e-07	2.68206421906e-07
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus	4476189	0.0	2.61824930198e-06	0.0	1.72642246421e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	179760	0.000100698359189	0.000371678946563	3.90475831227e-05	7.9296702545e-05
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium	361871	0.0	3.04003524945e-06	0.0	2.00453988192e-07
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella	848669	0.0	2.78365915824e-06	0.0	1.83549049354e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	187816	0.00702143661397	0.0076835107236	0.00387924957179	0.00493467575927
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	192619	1.60271690968e-06	0.0	1.04107650642e-07	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,nitroreducens	191096	0.0	2.61824930198e-06	0.0	1.72642246421e-07
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae	1139563	2.47452378568e-06	0.0	1.60737592665e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae	4453609	0.0268514163397	0.0217033006311	0.0132939712468	0.0112613850062
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4316998	0.0	1.95057939412e-06	0.0	1.28617396429e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis	183870	2.08690397132e-05	1.40846428186e-05	6.90630036068e-06	3.66264075137e-06
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas	535549	0.000383216255521	0.000229941749549	0.000172155604766	0.000112003874627
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	530700	4.17653637681e-06	2.00007924592e-06	3.84262725589e-07	1.3188132e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	182911	9.52941839301e-05	9.86459837646e-05	2.68103133546e-05	4.04912969619e-05
