Features	Feature IDs	Omnivore (mean)	Vegan (std)	Omnivore (std)	Vegan (mean)
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae	4372421	7.11259584178e-09	0.0	3.6183474508e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	311959	8.67586516595e-09	0.0	4.41361990826e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	311952	4.9124975739e-08	0.0	1.30976694421e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	4403095	2.9272383167e-08	0.0	1.11180314408e-06	0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae	4302414	1.80397700802e-08	0.0	9.1772620763e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	4374484	1.37117915373e-06	1.31604466597e-05	2.50489379292e-05	2.38316361975e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	290640	4.42062225495e-08	0.0	1.34488995192e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae	290647	3.60097832201e-08	0.0	1.30555081677e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	178217	1.20323204009e-08	0.0	6.12112888432e-07	0.0
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Conchiformibius,kuhniae	384573	3.85500736566e-08	0.0	1.43532742535e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	291518	4.84619740436e-08	0.0	1.29096268483e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister	162430	1.58111063567e-08	0.0	8.04348758916e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	353521	2.33729956703e-08	0.0	8.44410758114e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella	4401235	2.18813458638e-08	0.0	1.11315634668e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	267478	5.21301734229e-07	8.3858573225e-06	6.44621210824e-06	1.49449032284e-06
Bacteria,Firmicutes,Clostridia,Clostridiales	1107439	7.13044241364e-08	0.0	1.64964468987e-06	0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium	581763	3.69876298206e-08	0.0	1.34730578228e-06	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales	724366	1.82030028365e-08	0.0	9.26030247965e-07	0.0
